Symbols,High,Low,Open,Close,Volume,Adj Close,ROC_score,MFI_score,ARBR_score,Gtrends_score
A,78.45999908447266,77.83000183105469,78.16000366210938,78.41999816894531,2797700.0,78.41999816894531,0,0,1,0.0
ADI,106.33000183105469,105.19000244140625,106.08000183105469,105.91000366210938,2247400.0,105.91000366210938,0,0,1,0.0
AMAT,39.439998626708984,38.79999923706055,38.88999938964844,39.43000030517578,8149300.0,39.43000030517578,1,0,1,1.0
CMG,602.2000122070312,595.760009765625,600.5900268554688,600.219970703125,280000.0,600.219970703125,1,1,0,0.0
CVS,62.349998474121094,61.16999816894531,62.13999938964844,61.95000076293945,20177000.0,61.95000076293945,1,0,0,0.0
CVX,120.45999908447266,118.8499984741211,120.27999877929688,119.38999938964844,4517600.0,119.38999938964844,0,0,0,1.0
DIS,115.7699966430664,113.94999694824219,114.62999725341797,115.25,8734700.0,115.25,0,0,1,1.0
DLPH,24.045000076293945,22.464000701904297,22.65999984741211,23.0,3126200.0,23.0,0,0,1,1.0
EFX,110.9800033569336,108.5199966430664,110.41000366210938,110.76000213623047,1468600.0,110.76000213623047,0,0,1,1.0
ETR,92.81999969482422,91.05999755859375,91.26000213623047,92.7699966430664,1862400.0,92.7699966430664,0,0,1,0.0
HON,153.60000610351562,152.3800048828125,153.25,153.1999969482422,2868500.0,153.1999969482422,0,0,1,1.0
HUM,311.29998779296875,306.2799987792969,307.739990234375,309.67999267578125,584200.0,309.67999267578125,0,1,1,1.0
JCI,35.970001220703125,35.5099983215332,35.70000076293945,35.77000045776367,3499800.0,35.77000045776367,0,0,1,1.0
MAT,14.170000076293945,13.829999923706055,14.0600004196167,14.069999694824219,4891500.0,14.069999694824219,1,0,0,1.0
MCHP,90.0,88.45999908447266,89.70999908447266,89.04000091552734,1603400.0,89.04000091552734,1,0,1,0.0
MDT,93.83000183105469,92.94000244140625,93.0,93.7699966430664,4551300.0,93.7699966430664,0,0,0,0.0
MGM,28.469999313354492,27.3799991607666,28.420000076293945,27.709999084472656,11864500.0,27.709999084472656,0,0,1,0.0
MPC,65.86000061035156,64.7699966430664,65.27999877929688,65.0199966430664,3541600.0,65.0199966430664,0,0,0,1.0
MRO,17.030000686645508,16.579999923706055,16.850000381469727,16.889999389648438,12132300.0,16.889999389648438,1,0,1,0.0
NBL,24.100000381469727,23.020000457763672,24.09000015258789,23.15999984741211,7021200.0,23.15999984741211,0,0,1,1.0
NVDA,159.9499969482422,157.30999755859375,157.86000061035156,159.19000244140625,10020800.0,159.19000244140625,0,0,1,1.0
PWR,36.91999816894531,35.9900016784668,36.4900016784668,36.47999954223633,2335400.0,36.47999954223633,0,0,1,0.0
QDEL,68.0999984741211,67.13999938964844,67.76000213623047,67.73999786376953,325000.0,67.73999786376953,0,0,0,0.0
R,63.88999938964844,63.060001373291016,63.81999969482422,63.54999923706055,515600.0,63.54999923706055,1,0,1,1.0
RSG,77.95999908447266,77.1500015258789,77.91000366210938,77.62999725341797,1034600.0,77.62999725341797,0,0,0,0.0
SO,50.540000915527344,49.689998626708984,50.11000061035156,50.369998931884766,7245500.0,50.369998931884766,0,0,1,1.0
TAP,62.060001373291016,60.5,61.5099983215332,61.93000030517578,1228200.0,61.93000030517578,0,0,1,1.0
TWTR,31.729999542236328,30.809999465942383,30.809999465942383,31.709999084472656,15384900.0,31.709999084472656,0,1,0,0.0
VIAB,29.649999618530273,29.030000686645508,29.270000457763672,29.190000534057617,3573700.0,29.190000534057617,0,0,0,0.0
WMT,100.16000366210938,99.13999938964844,99.81999969482422,99.55000305175781,8085000.0,99.55000305175781,0,0,1,1.0
XOM,78.94999694824219,77.62000274658203,78.70999908447266,78.41999816894531,9519300.0,78.41999816894531,0,1,1,1.0
